TierID,TierName,CollarID,DatetimeUTC,E,N
010C,Caro,13973,2015-09-15T08:07:00Z,2570588.6864089766,1205095.3926824308
010C,Caro,13973,2015-09-15T08:08:00Z,2570572.8128650114,1205095.5490051217
010C,Caro,13973,2015-09-15T08:09:00Z,2570536.363928341,1205098.6977409509
010C,Caro,13973,2015-09-15T08:10:00Z,2570517.579049938,1205114.5773816297
010C,Caro,13973,2015-09-15T08:11:00Z,2570498.7942165686,1205130.4459648763
010C,Caro,13973,2015-09-15T08:12:00Z,2570488.8659991943,1205130.0282824172
010C,Caro,13973,2015-09-15T08:13:00Z,2570482.1402351665,1205123.5246766221
010C,Caro,13973,2015-09-15T08:14:00Z,2570480.8390349103,1205108.0891971807
010C,Caro,13973,2015-09-15T08:15:00Z,2570486.2560787355,1205099.1684757152
010C,Caro,13973,2015-09-15T08:16:00Z,2570490.4752594247,1205100.2370404745
010C,Caro,13973,2015-09-15T08:17:00Z,2570495.4046519874,1205091.1408697309
010C,Caro,13973,2015-09-15T08:18:00Z,2570499.122656961,1205089.310309998
010C,Caro,13973,2015-09-15T08:19:00Z,2570497.395689488,1205092.3094292565
010C,Caro,13973,2015-09-15T08:20:00Z,2570498.87799551,1205090.5900132626
010C,Caro,13973,2015-09-15T08:21:00Z,2570498.8712143824,1205089.222618502
010C,Caro,13973,2015-09-15T08:22:00Z,2570499.129438031,1205090.6777047568
010C,Caro,13973,2015-09-15T08:23:00Z,2570502.589221611,1205087.3920609362
010C,Caro,13973,2015-09-15T08:24:00Z,2570499.8752791113,1205092.297132474
010C,Caro,13973,2015-09-15T08:25:00Z,2570500.117291187,1205087.4154359042
010C,Caro,13973,2015-09-15T08:26:00Z,2570497.3889631527,1205090.953151525
010C,Caro,13973,2015-09-15T08:27:00Z,2570498.6273779036,1205089.1348893011
010C,Caro,13973,2015-09-15T08:28:00Z,2570495.6619970333,1205093.9522712976
010C,Caro,13973,2015-09-15T08:29:00Z,2570495.4181606993,1205093.8645422254
010C,Caro,13973,2015-09-15T08:30:00Z,2570497.1451267223,1205090.8654223848
010C,Caro,13973,2015-09-15T08:31:00Z,2570497.1451267223,1205090.8654223848
010C,Caro,13973,2015-09-15T08:32:00Z,2570498.8712143824,1205089.222618502
010C,Caro,13973,2015-09-15T08:33:00Z,2570499.122656961,1205089.310309998
010C,Caro,13973,2015-09-15T08:34:00Z,2570498.87799551,1205090.5900132626
010C,Caro,13973,2015-09-15T08:35:00Z,2570496.8877271223,1205088.0429037374
010C,Caro,13973,2015-09-15T08:36:00Z,2570496.399229588,1205089.2348779817
010C,Caro,13973,2015-09-15T08:37:00Z,2570495.4113787743,1205092.497147462
010C,Caro,13973,2015-09-15T08:38:00Z,2570494.1778635485,1205090.7022622474
010C,Caro,13973,2015-09-15T08:39:00Z,2570494.665536504,1205090.8777203036
010C,Caro,13973,2015-09-15T08:40:00Z,2570496.15727578,1205094.1276917474
010C,Caro,13973,2015-09-15T08:41:00Z,2570496.1640023994,1205095.4839694845
010C,Caro,13973,2015-09-15T08:42:00Z,2570492.4306614366,1205089.6214327395
010C,Caro,13973,2015-09-15T08:43:00Z,2570493.920517678,1205087.8908607627
010C,Caro,13973,2015-09-15T08:44:00Z,2570497.6530886837,1205095.1319479437
010C,Caro,13973,2015-09-15T08:45:00Z,2570496.908071866,1205092.1450880128
010C,Caro,13973,2015-09-15T08:46:00Z,2570497.1451267223,1205090.8654223848
010C,Caro,13973,2015-09-15T08:47:00Z,2570498.87799551,1205090.5900132626
010C,Caro,13973,2015-09-15T08:48:00Z,2570498.6273779036,1205089.1348893011
010C,Caro,13973,2015-09-15T08:49:00Z,2570498.383541418,1205089.0471601046
010C,Caro,13973,2015-09-15T08:50:00Z,2570496.1486664587,1205087.7908711582
010C,Caro,13973,2015-09-15T08:51:00Z,2570497.4073707582,1205090.0636759137
010C,Caro,13973,2015-09-15T08:52:00Z,2570499.642299733,1205091.3310823743
010C,Caro,13973,2015-09-15T08:53:00Z,2570502.1218346376,1205091.307669492
010C,Caro,13973,2015-09-15T08:54:00Z,2570496.1486664587,1205087.7908711582
010C,Caro,13973,2015-09-15T08:55:00Z,2570498.62059672,1205087.7674945444
010C,Caro,13973,2015-09-15T08:56:00Z,2570498.634159087,1205090.5022840593
010C,Caro,13973,2015-09-15T08:57:00Z,2570496.4060112825,1205090.6022727366
010C,Caro,13973,2015-09-15T08:58:00Z,2570497.8950436693,1205090.2391342307
010C,Caro,13973,2015-09-15T08:59:00Z,2570500.8690325078,1205091.7585739477
