TrajID,E,N,DatetimeUTC
1,2571414.0080999993,1205804.1700000018,2015-03-01T12:01:00Z
1,2571396.016399998,1205791.4699999988,2015-03-01T12:02:00Z
1,2571372.732999999,1205770.3033000007,2015-03-01T12:03:00Z
1,2571347.332899999,1205753.3698999994,2015-03-01T12:04:00Z
1,2571335.691300001,1205743.8449000008,2015-03-01T12:05:00Z
1,2571320.8746000007,1205732.2032000013,2015-03-01T12:06:00Z
1,2571303.9411999993,1205722.678199999,2015-03-01T12:07:00Z
1,2571284.8911000006,1205705.7448999994,2015-03-01T12:08:00Z
1,2571253.1411000006,1205694.1031999998,2015-03-01T12:09:00Z
1,2571219.2743999995,1205673.9948000014,2015-03-01T12:10:00Z
1,2571189.640999999,1205652.8280999996,2015-03-01T12:11:00Z
1,2571169.5326000005,1205632.7197000012,2015-03-01T12:12:00Z
1,2571145.1909000017,1205614.7280000001,2015-03-01T12:13:00Z
1,2571113.4408,1205595.6779999994,2015-03-01T12:14:00Z
1,2571067.9323999994,1205579.8029000014,2015-03-01T12:15:00Z
1,2571048.8823000006,1205563.9279000014,2015-03-01T12:16:00Z
1,2571027.715599999,1205548.0529000014,2015-03-01T12:17:00Z
1,2571003.3739,1205534.2945000008,2015-03-01T12:18:00Z
1,2570973.7404999994,1205518.4195000008,2015-03-01T12:19:00Z
1,2570953.632199999,1205504.6611000001,2015-03-01T12:20:00Z
1,2570928.2320999987,1205483.4943999983,2015-03-01T12:21:00Z
1,2570899.6570000015,1205465.502700001,2015-03-01T12:22:00Z
1,2570871.0819999985,1205442.2193000019,2015-03-01T12:23:00Z
1,2570825.5736000016,1205409.4109000005,2015-03-01T12:24:00Z
1,2570790.648499999,1205390.3608999997,2015-03-01T12:25:00Z
1,2570765.248399999,1205377.6609000005,2015-03-01T12:26:00Z
1,2570728.206700001,1205343.7941000015,2015-03-01T12:27:00Z
1,2570698.5733000003,1205318.3940999992,2015-03-01T12:28:00Z
1,2570623.431499999,1205288.7606999986,2015-03-01T12:29:00Z
1,2570572.6314000003,1205255.952300001,2015-03-01T12:30:00Z
1,2570518.656300001,1205224.2021999992,2015-03-01T12:31:00Z
1,2570477.3812000006,1205194.5687999986,2015-03-01T12:32:00Z
1,2570433.9893999994,1205167.052099999,2015-03-01T12:33:00Z
1,2570412.8227000013,1205152.2353999987,2015-03-01T12:34:00Z
1,2570389.5394,1205177.635499999,2015-03-01T12:35:00Z
1,2570376.839299999,1205195.6272,2015-03-01T12:36:00Z
1,2570369.4310000017,1205213.618900001,2015-03-01T12:37:00Z
1,2570318.6308999993,1205294.0524000004,2015-03-01T12:38:00Z
1,2570213.855700001,1205430.5775999986,2015-03-01T12:39:00Z
1,2570130.247200001,1205542.7611999996,2015-03-01T12:40:00Z
1,2569963.030200001,1205755.4866000004,2015-03-01T12:41:00Z
1,2569825.4466000013,1205952.3370000012,2015-03-01T12:42:00Z
1,2569691.037999999,1206124.8456999995,2015-03-01T12:43:00Z
1,2569530.171,1206360.8544999994,2015-03-01T12:44:00Z
1,2569416.9290999994,1206486.7963999994,2015-03-01T12:45:00Z
1,2569302.628899999,1206502.6713999994,2015-03-01T12:46:00Z
1,2569259.2371000014,1206555.5881999992,2015-03-01T12:47:00Z
2,2571408.1871999986,1205817.9283999987,2015-03-01T12:01:00Z
2,2571282.2452999987,1205730.0865999982,2015-03-01T12:02:00Z
2,2571136.1950000003,1205624.2529999986,2015-03-01T12:03:00Z
2,2570946.7529999986,1205514.1860999987,2015-03-01T12:04:00Z
2,2570783.769299999,1205400.9442000017,2015-03-01T12:05:00Z
2,2570639.8357000016,1205315.2190999985,2015-03-01T12:06:00Z
2,2570499.0771000013,1205236.9021999985,2015-03-01T12:07:00Z
2,2570400.651900001,1205144.8271000013,2015-03-01T12:08:00Z
2,2570376.839299999,1205195.6272,2015-03-01T12:09:00Z
2,2570353.026799999,1205225.2606000006,2015-03-01T12:10:00Z
2,2570328.6851000004,1205259.1273000017,2015-03-01T12:11:00Z
2,2570306.460000001,1205286.6440000013,2015-03-01T12:12:00Z
2,2570289.526700001,1205315.2190999985,2015-03-01T12:13:00Z
2,2570262.0099,1205353.3191,2015-03-01T12:14:00Z
2,2570228.143199999,1205394.5942000002,2015-03-01T12:15:00Z
2,2570198.5097999983,1205433.7525999993,2015-03-01T12:16:00Z
